country,postcode,T12,T09,T10
CZ,16201,x,,
CZ,16253,x,,
CZ,16300,x,,
CZ,16400,x,,
CZ,16500,x,,
CZ,16502,x,,
CZ,16552,x,,
CZ,16603,x,,
CZ,16604,x,,
CZ,16605,x,,
CZ,16606,x,,
CZ,16607,x,,
CZ,16608,x,,
CZ,16610,x,,
CZ,16611,x,,
CZ,16612,x,,
CZ,16617,x,,
CZ,16620,x,,
CZ,16621,x,,
CZ,16624,x,,
CZ,16627,x,,
CZ,16628,x,,
CZ,16629,x,,
CZ,16631,x,,
CZ,16632,x,,
CZ,16633,x,,
CZ,16634,x,,
CZ,16636,x,,
CZ,16637,x,,
CZ,16638,x,,
CZ,16642,x,,
CZ,16643,x,,
CZ,16660,x,,
CZ,16900,x,,
CZ,16902,x,,
CZ,17000,x,,
CZ,17001,x,,
CZ,17004,x,,
CZ,17024,x,,
CZ,17034,x,,
CZ,17041,x,,
CZ,17055,x,,
CZ,17071,x,,
CZ,17076,x,,
CZ,17078,x,,
CZ,17081,x,,
CZ,17100,x,,
CZ,17102,x,,
CZ,17700,x,,
CZ,18000,x,,
CZ,18005,x,,
CZ,18008,x,,
CZ,18009,x,,
CZ,18015,x,,
CZ,18016,x,,
CZ,18017,x,,
CZ,18018,x,,
CZ,18019,x,,
CZ,18081,x,,
CZ,18082,x,,
CZ,18084,x,,
CZ,18085,x,,
CZ,18086,x,,
CZ,18100,x,,
CZ,18106,x,,
CZ,18200,x,,
CZ,18202,x,,
CZ,18209,x,,
CZ,18212,x,,
CZ,18214,x,,
CZ,18223,x,,
CZ,18251,x,,
CZ,18253,x,,
CZ,18254,x,,
CZ,18400,x,,
CZ,18600,x,,
CZ,18603,x,,
CZ,18672,x,,
CZ,18675,x,,
CZ,18676,x,,
CZ,18684,x,,
CZ,18700,x,,
CZ,19000,x,,
CZ,19001,x,,
CZ,19002,x,,
CZ,19003,x,,
CZ,19005,x,,
CZ,19011,x,,
CZ,19012,x,,
CZ,19014,x,,
CZ,19015,x,,
CZ,19016,x,,
CZ,19017,x,,
CZ,19020,x,,
CZ,19022,x,,
CZ,19023,x,,
CZ,19061,x,,
CZ,19093,x,,
CZ,19300,x,,
CZ,19321,x,,
CZ,19400,x,,
CZ,19600,x,,
CZ,19619,x,,
CZ,19700,x,,
CZ,19705,x,,
CZ,19800,x,,
CZ,19802,x,,
CZ,19819,x,,
