country,postcode,T12,T09,T10
SK,84229,x,,
SK,84407,x,,
SK,84501,x,,
SK,84545,x,,
SK,84998,x,,
SK,84999,x,,
SK,85000,x,,
SK,85007,x,,
SK,85101,x,,
SK,85102,x,,
SK,85103,x,,
SK,85104,x,,
SK,85105,x,,
SK,85106,x,,
SK,85107,x,,
SK,85110,x,,
SK,85226,x,,
SK,90001,x,,
SK,90002,x,,
SK,90029,x,,
SK,90033,x,,
SK,90041,x,,
SK,90051,x,,
SK,90055,x,,
SK,90068,x,,
SK,90082,x,,
SK,90083,x,,
SK,90084,x,,
SK,90086,x,,
SK,90101,x,,
SK,90201,x,,
SK,90202,x,,
SK,90203,x,,
SK,90301,x,,
SK,90312,x,,
SK,90622,x,,
SK,90632,x,,
SK,90633,x,,
SK,90851,x,,
SK,91101,x,,
SK,91102,x,,
SK,91103,x,,
SK,91104,x,,
SK,91105,x,,
SK,91106,x,,
SK,91107,x,,
SK,91108,x,,
SK,91303,x,,
SK,91304,x,,
SK,91305,x,,
SK,91306,x,,
SK,91307,x,,
SK,91308,x,,
SK,91311,x,,
SK,91321,x,,
SK,91322,x,,
SK,91324,x,,
SK,91325,x,,
SK,91326,x,,
SK,91331,x,,
SK,91332,x,,
SK,91333,x,,
SK,91336,x,,
SK,91338,x,,
SK,91401,x,,
SK,91441,x,,
SK,91442,x,,
SK,91501,x,,
SK,91601,x,,
SK,91626,x,,
SK,91641,x,,
SK,91642,x,,
SK,91700,x,,
SK,91701,x,,
SK,91702,x,,
SK,91703,x,,
SK,91704,x,,
SK,91705,x,,
SK,91706,x,,
SK,91707,x,,
SK,91708,x,,
SK,91747,x,,
SK,91758,x,,
SK,91799,x,,
SK,91935,x,,
SK,91943,x,,
SK,91961,x,,
SK,92101,x,,
SK,92201,x,,
SK,92202,x,,
SK,92203,x,,
SK,92400,x,,
SK,92401,x,,
SK,92422,x,,
SK,92434,x,,
SK,92447,x,,
SK,92581,x,,
SK,92582,x,,
SK,92583,x,,
SK,92591,x,,
SK,92600,x,,
SK,92601,x,,
SK,92700,x,,
SK,92701,x,,
SK,92702,x,,
SK,92703,x,,
SK,92704,x,,
SK,92705,x,,
SK,92901,x,,
SK,93001,x,,
SK,93002,x,,
SK,93003,x,,
SK,93201,x,,
SK,93401,x,,
SK,93405,x,,
SK,94001,x,,
SK,94002,x,,
SK,94051,x,,
SK,94052,x,,
SK,94053,x,,
SK,94054,x,,
SK,94055,x,,
SK,94056,x,,
SK,94057,x,,
SK,94058,x,,
SK,94059,x,,
SK,94060,x,,
SK,94061,x,,
SK,94062,x,,
SK,94063,x,,
SK,94064,x,,
SK,94065,x,,
SK,94066,x,,
SK,94067,x,,
SK,94068,x,,
SK,94069,x,,
SK,94070,x,,
SK,94071,x,,
SK,94072,x,,
SK,94074,x,,
SK,94075,x,,
SK,94076,x,,
SK,94077,x,,
SK,94078,x,,
SK,94079,x,,
